acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.36,-0.96,-0.05,-16.66,-7.63,-25.62
-0.39,-0.96,-0.11,-12.84,-3.28,-17.1
-0.38,-0.99,-0.08,-8.96,0.37,-12.63
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
-0.39,-1.03,-0.04,-4.61,-0.67,-10.99
