acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.1,-0.92,0.11,-5.79,-2.52,0.55
-0.1,-0.92,0.11,-6.31,-2.49,2.29
-0.11,-0.94,0.12,-6.35,-2.93,2.9
-0.1,-0.95,0.11,-6.17,-2.84,2.61
-0.09,-0.96,0.09,-4.73,-1.88,2.4
-0.1,-0.96,0.1,-2.98,-1.42,1.6
-0.1,-0.93,0.08,-2.72,-1.11,-0.03
-0.12,-0.88,0.04,-5.16,-1.5,-1.79
-0.13,-0.85,0.02,-9.68,-1.39,-2.99
-0.15,-0.88,-0.01,-14.2,-1.65,-3.22
-0.17,-0.92,-0.01,-16.99,-1.62,-1.45
-0.18,-0.97,-0.02,-16.79,-2.26,0.63
-0.18,-0.99,-0.03,-15.1,-2.08,2.49
-0.16,-1.0,-0.04,-14.05,-1.82,2.09
-0.18,-0.99,-0.04,-13.5,-2.37,0.58
-0.15,-0.99,-0.07,-14.32,-2.31,-1.85
-0.14,-0.98,-0.08,-15.86,-1.59,-4.14
-0.12,-0.97,-0.07,-17.33,-1.02,-5.37
-0.11,-0.96,-0.06,-19.11,-0.61,-5.48
-0.1,-0.96,-0.08,-22.0,0.24,-6.31
-0.13,-0.97,-0.06,-24.87,0.31,-7.27
-0.12,-0.99,-0.06,-26.64,-0.75,-9.18
-0.12,-1.0,-0.06,-28.67,-1.13,-11.3
-0.12,-1.0,-0.06,-30.12,-1.66,-12.72
-0.1,-1.0,-0.06,-30.93,-1.16,-12.93
-0.11,-1.02,-0.06,-31.28,-0.29,-11.57
-0.1,-1.04,-0.05,-29.65,-0.18,-9.05
-0.05,-1.04,-0.06,-26.55,3.65,-4.12
-0.03,-1.02,-0.07,-23.85,7.3,-1.3
-0.03,-0.98,-0.07,-23.27,10.44,-2.24
-0.06,-0.95,-0.08,-26.12,11.51,-6.67
-0.09,-0.93,-0.09,-31.47,11.82,-12.27
-0.13,-0.97,-0.07,-35.24,10.76,-14.96
-0.13,-1.03,-0.06,-35.18,9.66,-13.11
-0.08,-1.06,-0.07,-31.56,12.11,-7.47
-0.05,-1.04,-0.06,-29.57,16.24,-4.63
-0.03,-1.0,-0.04,-29.8,19.39,-5.4
-0.02,-0.99,-0.03,-30.46,21.18,-7.4
-0.04,-0.97,-0.04,-32.75,20.89,-11.01
-0.09,-1.0,0.0,-35.3,18.14,-14.93
-0.06,-1.03,-0.01,-36.61,17.07,-17.47
-0.03,-1.07,0.0,-37.13,18.14,-19.24
-0.02,-1.08,0.01,-34.76,20.46,-16.75
-0.01,-1.07,0.02,-30.02,24.84,-8.32
0.0,-1.04,0.01,-24.84,29.86,1.27
-0.03,-0.97,-0.01,-23.59,34.03,9.59
-0.04,-0.93,-0.05,-26.09,36.69,12.34
-0.08,-0.95,-0.03,-29.59,37.48,13.05
-0.11,-0.99,-0.03,-30.56,35.76,12.56
-0.1,-1.02,-0.02,-30.75,34.61,11.33
-0.06,-1.05,-0.03,-27.54,35.25,13.01
-0.02,-1.04,-0.05,-24.47,39.16,15.8
-0.01,-1.03,-0.04,-22.31,44.15,15.94
-0.03,-1.01,-0.04,-21.25,47.69,12.12
-0.06,-0.99,-0.03,-21.86,49.76,5.98
-0.06,-0.98,-0.04,-21.73,52.27,3.42
-0.08,-0.97,-0.03,-20.26,54.7,4.41
-0.09,-0.95,-0.03,-18.11,56.55,7.48
-0.11,-0.92,-0.04,-16.31,57.33,9.36
-0.15,-0.86,-0.04,-19.59,56.53,6.14
-0.19,-0.84,-0.04,-26.24,52.96,1.62
-0.19,-0.82,-0.02,-34.7,48.66,-0.63
-0.13,-0.88,-0.01,-40.02,48.69,3.08
-0.09,-0.93,0.01,-38.82,51.56,11.44
-0.05,-0.97,0.0,-33.57,56.37,20.05
-0.07,-0.98,0.03,-26.93,58.89,25.51
-0.09,-0.96,0.02,-21.88,58.31,27.16
-0.08,-0.91,0.03,-21.8,56.49,24.08
-0.07,-0.89,0.02,-25.24,55.19,18.05
-0.08,-0.91,0.03,-30.26,54.05,13.19
-0.09,-0.91,0.03,-35.27,53.65,10.29
-0.11,-0.97,0.07,-37.01,52.08,11.53
-0.09,-1.01,0.09,-34.75,52.72,18.18
-0.1,-1.05,0.11,-29.71,52.34,23.86
-0.15,-1.09,0.14,-23.68,48.23,25.65
-0.19,-1.13,0.16,-18.17,39.79,21.88
-0.15,-1.13,0.16,-12.11,34.75,19.08
-0.12,-1.12,0.14,-6.64,32.44,16.44
-0.14,-1.08,0.16,-5.02,28.95,11.85
-0.16,-1.08,0.17,-2.47,24.93,9.18
-0.17,-1.05,0.18,0.26,20.03,7.95
-0.16,-1.05,0.19,2.58,15.54,8.0
-0.17,-1.04,0.2,6.27,10.9,10.32
-0.16,-1.02,0.19,9.51,6.12,12.76
-0.15,-1.01,0.18,11.27,1.45,12.85
-0.15,-1.0,0.18,11.79,-3.02,9.57
-0.15,-0.99,0.17,11.5,-7.95,3.6
-0.15,-1.0,0.18,11.85,-13.22,-3.33
-0.17,-1.04,0.2,16.32,-18.67,-7.62
-0.13,-1.05,0.18,23.1,-21.68,-9.16
-0.12,-1.04,0.16,28.47,-22.53,-8.79
-0.13,-1.0,0.13,32.2,-23.5,-9.15
-0.16,-0.92,0.11,30.58,-26.17,-9.47
-0.2,-0.86,0.09,23.65,-29.6,-11.8
-0.24,-0.83,0.09,13.6,-35.53,-14.35
-0.24,-0.86,0.08,4.6,-41.15,-15.42
-0.24,-0.95,0.1,0.5,-45.53,-13.47
-0.2,-1.02,0.13,2.38,-49.04,-8.98
-0.15,-1.07,0.12,9.25,-50.64,-4.82
-0.15,-1.05,0.1,16.24,-51.77,-2.69
