acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.22,-1.04,0.01,-3.53,1.47,-6.0
-0.21,-1.02,-0.01,-0.29,2.37,-6.38
-0.19,-0.98,-0.01,1.63,4.21,-6.93
-0.19,-0.91,-0.01,2.55,5.5,-7.31
-0.16,-0.85,-0.02,4.32,7.27,-5.66
-0.13,-0.78,-0.02,7.36,8.93,-3.98
-0.07,-0.7,-0.06,12.87,12.87,-0.24
0.02,-0.57,-0.06,21.4,21.4,11.33
0.01,-0.32,-0.03,27.71,30.2,21.86
-0.06,0.04,0.04,32.24,26.02,43.83
-0.05,0.34,0.07,33.85,25.63,75.4
0.02,0.74,-0.03,35.77,27.47,108.87
0.05,1.5,-0.09,40.27,20.32,153.6
0.15,2.29,-0.13,24.05,33.91,218.24
-0.19,3.16,-0.1,-37.15,44.06,285.8
-0.47,3.87,-0.22,-135.04,61.83,372.17
-0.89,4.0,-0.4,-246.69,86.93,471.68
-1.39,4.0,-0.87,-344.92,126.4,500.26
-2.13,3.73,-1.32,-430.55,149.27,500.26
-2.79,3.15,-1.83,-500.27,167.22,500.26
-3.47,2.5,-2.17,-500.27,168.14,500.26
-3.95,2.15,-2.42,-500.27,158.34,500.26
-4.0,1.8,-2.57,-500.27,131.65,500.26
-4.0,1.2,-2.45,-500.27,79.45,500.26
-4.0,0.55,-2.23,-500.27,7.56,500.26
-4.0,-0.42,-1.89,-500.27,-68.47,488.6
-4.0,-1.04,-1.71,-452.17,-136.37,454.27
-4.0,-0.83,-1.56,-339.68,-189.21,423.68
-3.89,-0.49,-1.73,-278.9,-210.6,390.43
-3.13,-0.36,-2.27,-247.91,-176.73,350.93
-2.43,-0.45,-2.57,-230.52,-110.55,300.23
-1.89,-0.54,-2.66,-237.25,-23.83,231.1
-2.07,-0.81,-2.28,-248.52,31.83,153.73
-2.32,-1.52,-1.77,-216.17,39.16,94.49
-2.35,-2.15,-1.36,-126.47,21.04,61.69
-2.31,-2.29,-1.06,-20.9,-14.96,32.85
-2.05,-2.14,-1.04,72.96,-47.83,8.43
-1.71,-1.85,-1.19,153.57,-64.56,-19.4
-1.46,-1.46,-1.36,211.59,-67.27,-47.24
-1.28,-1.03,-1.49,240.66,-58.56,-76.44
-1.14,-0.59,-1.54,246.6,-38.27,-94.5
-1.1,-0.32,-1.46,240.67,-17.63,-113.36
-1.13,-0.16,-1.34,229.05,-6.17,-127.73
-1.2,-0.15,-1.21,216.03,0.4,-139.48
-1.29,-0.3,-1.06,207.08,0.15,-154.72
-1.41,-0.5,-0.98,207.05,-10.08,-169.86
-1.44,-0.66,-0.97,216.9,-10.49,-190.03
-1.66,-0.71,-0.88,226.52,-19.89,-206.9
-1.86,-0.77,-0.82,239.22,-34.43,-228.58
-2.13,-0.79,-0.76,251.88,-51.71,-245.92
-2.39,-0.8,-0.71,265.3,-79.95,-262.11
-2.38,-0.82,-0.86,280.46,-102.11,-272.03
-2.26,-0.78,-1.05,295.4,-107.1,-282.53
-2.25,-0.58,-1.16,294.79,-98.87,-295.34
-2.46,-0.42,-1.06,272.98,-97.04,-318.17
-2.83,-0.47,-0.83,240.03,-110.4,-355.07
-3.02,-0.72,-0.72,218.12,-131.8,-380.11
-2.75,-1.01,-0.96,233.22,-130.49,-388.09
-2.72,-0.98,-1.06,267.5,-115.77,-384.56
-2.7,-0.57,-1.07,280.44,-105.25,-385.74
-2.83,-0.08,-0.99,261.42,-102.95,-390.27
-2.65,0.17,-0.82,221.13,-98.23,-397.37
-2.48,0.29,-0.77,183.45,-95.65,-401.19
-2.47,0.29,-0.52,166.26,-100.46,-408.56
-2.19,0.36,-0.44,162.56,-100.2,-409.42
-1.9,0.76,-0.4,145.91,-92.03,-402.6
-1.71,1.08,-0.3,126.27,-84.26,-388.17
-1.5,1.49,-0.15,96.24,-80.6,-360.08
-1.19,1.77,-0.11,57.86,-76.37,-323.48
-0.81,1.89,-0.15,14.06,-70.34,-293.83
-0.56,1.8,-0.17,-28.92,-60.67,-266.27
-0.37,1.6,-0.14,-52.98,-53.25,-239.45
-0.27,1.33,-0.15,-59.97,-49.68,-210.81
-0.15,1.06,-0.16,-57.19,-49.63,-189.47
0.0,0.79,-0.25,-54.96,-44.17,-177.18
-0.0,0.66,-0.25,-48.47,-35.24,-155.07
-0.06,0.51,-0.21,-40.17,-28.35,-125.1
-0.06,0.33,-0.17,-45.27,-20.12,-104.17
-0.13,0.07,-0.14,-54.84,-12.09,-90.2
-0.17,-0.24,-0.05,-59.63,-8.34,-77.91
-0.18,-0.57,-0.02,-55.74,-3.59,-65.66
-0.21,-0.82,-0.01,-43.08,-1.01,-58.6
-0.22,-1.01,-0.0,-30.35,-1.39,-57.36
-0.12,-1.09,-0.04,-18.29,1.15,-59.53
-0.11,-1.14,-0.1,-1.48,4.53,-57.5
-0.06,-1.15,-0.08,14.75,9.24,-53.18
-0.03,-1.09,-0.1,26.02,15.04,-47.02
0.02,-1.02,-0.09,31.97,22.47,-39.95
-0.05,-0.97,-0.03,32.17,27.34,-31.66
-0.08,-0.97,0.06,29.21,29.08,-25.47
-0.13,-1.02,0.13,27.16,26.92,-26.32
-0.17,-1.02,0.2,24.08,23.82,-24.38
-0.21,-1.1,0.21,20.06,16.79,-28.24
-0.14,-1.1,0.18,18.0,14.03,-32.56
-0.1,-1.11,0.17,20.47,12.66,-34.55
-0.07,-1.11,0.16,27.11,12.46,-32.38
-0.06,-1.02,0.15,32.98,11.62,-27.56
-0.05,-0.9,0.17,31.77,9.95,-21.74
-0.09,-0.81,0.18,24.78,8.17,-16.12
-0.04,-0.77,0.16,13.68,5.85,-9.5
