acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.06,-1.02,-0.12,-3.22,2.11,-1.63
-0.05,-1.03,-0.13,-0.78,2.87,-1.25
-0.05,-1.0,-0.13,-0.31,3.28,-1.18
-0.05,-1.0,-0.11,-0.87,3.4,-1.31
-0.05,-0.99,-0.12,-1.69,3.59,-2.46
-0.04,-0.98,-0.11,-2.76,3.77,-2.96
-0.05,-0.96,-0.12,-3.94,4.08,-2.6
-0.04,-0.96,-0.12,-3.34,4.9,-0.73
-0.04,-0.95,-0.12,-1.1,5.91,1.74
-0.03,-0.89,-0.12,-0.96,6.55,3.95
-0.03,-0.84,-0.12,-2.35,8.05,6.46
-0.05,-0.75,-0.08,-4.55,8.2,9.68
-0.07,-0.62,-0.06,-9.24,6.93,16.02
-0.06,-0.5,-0.04,-13.36,5.66,26.02
-0.08,-0.3,-0.04,-18.96,3.57,40.78
-0.08,-0.02,-0.07,-30.11,1.89,62.4
-0.04,0.37,-0.13,-51.28,2.72,93.34
-0.05,0.81,-0.17,-73.85,0.38,138.11
-0.05,1.23,-0.22,-96.09,10.41,195.88
-0.11,1.63,-0.25,-122.76,21.02,279.37
-0.3,1.96,-0.35,-148.52,42.21,372.34
-0.57,2.21,-0.43,-175.5,68.23,462.7
-0.97,2.43,-0.52,-213.59,82.93,500.26
-1.51,2.72,-0.55,-264.23,84.79,500.26
-1.97,2.67,-0.66,-308.12,85.24,500.26
-2.42,2.66,-0.8,-346.11,75.57,500.26
-2.99,2.49,-0.85,-377.18,44.6,500.26
-3.31,2.24,-0.97,-396.85,15.13,500.26
-3.61,2.0,-1.1,-392.73,-17.02,500.26
-3.83,1.82,-1.25,-377.86,-54.95,500.26
-4.0,1.65,-1.38,-365.08,-94.44,500.26
-4.0,1.37,-1.63,-345.6,-114.2,500.26
-4.0,1.12,-1.81,-335.39,-111.8,500.26
-4.0,0.58,-1.94,-324.08,-106.92,500.26
-3.83,-0.24,-2.11,-292.85,-87.01,500.26
-3.64,-0.75,-2.24,-269.69,-60.24,435.1
-3.6,-1.39,-2.07,-240.24,-49.37,352.0
-3.55,-2.13,-1.88,-196.53,-51.53,259.34
-3.44,-2.78,-1.59,-132.02,-71.15,163.51
-3.16,-3.04,-1.47,-55.16,-90.17,76.32
-3.04,-3.02,-1.47,15.27,-112.27,-9.82
-2.75,-2.97,-1.65,85.56,-118.4,-79.31
-2.51,-2.45,-1.76,134.44,-124.26,-115.27
-2.02,-2.03,-2.01,161.07,-99.02,-168.08
-1.86,-1.57,-1.99,179.47,-65.24,-212.9
-1.89,-1.11,-1.93,182.55,-45.56,-256.9
-1.92,-0.84,-1.72,172.17,-24.11,-299.94
-2.06,-0.97,-1.57,175.74,-15.97,-330.95
-2.19,-1.23,-1.43,201.79,-11.27,-364.73
-2.38,-1.26,-1.34,232.46,-11.21,-397.62
-2.49,-1.08,-1.32,256.23,-9.36,-431.4
-2.75,-0.41,-1.2,256.12,-14.82,-467.15
-2.8,-0.01,-1.13,248.85,-19.97,-480.47
-2.73,0.33,-1.14,251.36,-11.85,-456.89
-2.55,0.43,-1.11,249.16,1.71,-431.62
-2.48,0.38,-1.05,235.94,12.03,-431.19
-2.55,0.29,-0.8,205.91,8.38,-448.4
-2.53,-0.07,-0.6,178.29,0.34,-484.43
-2.61,-0.15,-0.44,172.82,-8.18,-500.27
-2.76,0.12,-0.19,167.19,-29.98,-500.27
-2.63,0.3,-0.19,173.77,-38.58,-493.89
-2.4,0.6,-0.28,190.93,-38.4,-429.94
-2.03,0.68,-0.33,214.58,-39.71,-368.6
-1.69,0.75,-0.38,217.54,-41.82,-328.64
-1.33,0.93,-0.46,183.83,-39.83,-320.99
-1.11,0.91,-0.4,121.85,-37.19,-342.05
-0.84,0.83,-0.34,60.21,-26.12,-362.87
-0.85,0.62,-0.17,16.31,-24.03,-374.26
-0.81,0.42,-0.05,-2.52,-25.27,-353.74
-0.89,0.38,-0.0,3.76,-32.84,-297.45
-0.94,0.62,0.06,22.64,-56.66,-232.46
