acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.19,-1.06,-0.09,-11.57,7.92,-3.77
-0.22,-1.08,-0.09,-4.85,6.02,-0.06
-0.2,-1.07,-0.09,0.5,3.57,1.47
-0.19,-1.06,-0.09,4.15,1.74,1.62
-0.2,-1.06,-0.08,10.05,-0.11,3.85
-0.22,-1.09,-0.07,20.49,-2.76,10.93
-0.2,-1.08,-0.07,30.31,-6.14,14.84
-0.23,-1.1,-0.07,41.79,-10.85,21.08
-0.27,-1.15,-0.04,58.26,-17.6,28.89
-0.32,-1.24,0.02,82.03,-26.44,41.28
-0.43,-1.46,0.07,126.96,-41.25,68.53
-0.43,-1.64,0.09,187.01,-59.13,101.63
-0.59,-1.88,0.15,263.47,-81.39,139.36
-0.59,-2.09,0.09,349.83,-106.75,183.79
-0.56,-2.28,-0.01,437.62,-129.98,213.76
-0.45,-2.29,-0.17,500.26,-147.82,233.86
-0.7,-2.47,-0.14,500.26,-172.53,250.09
-0.82,-2.72,-0.19,500.26,-213.69,269.39
-0.78,-2.87,-0.49,500.26,-252.08,306.29
-0.76,-2.87,-0.82,500.26,-294.89,347.69
-0.57,-2.8,-1.38,500.26,-342.75,374.18
-0.08,-2.37,-2.09,500.26,-366.85,389.86
0.37,-1.97,-2.64,500.26,-367.16,374.95
0.63,-1.63,-2.85,500.26,-351.44,332.37
0.57,-1.26,-2.88,500.26,-338.15,243.66
0.39,-0.68,-2.69,500.26,-323.21,159.65
0.3,-0.44,-2.5,500.26,-298.95,105.82
0.11,-0.26,-2.35,500.26,-281.59,62.21
0.06,0.16,-2.23,500.26,-263.19,35.37
0.14,0.71,-2.28,500.26,-244.79,25.95
0.12,1.48,-2.14,500.26,-224.49,12.06
0.24,2.28,-2.01,500.26,-212.31,-8.18
0.51,2.73,-1.9,474.34,-189.19,-16.78
0.72,2.97,-1.76,367.68,-150.55,-11.62
0.84,3.04,-1.57,278.43,-115.01,0.26
0.93,3.13,-1.42,192.4,-78.21,12.6
0.9,2.92,-1.22,117.02,-46.21,25.07
0.89,2.54,-1.03,68.53,-14.08,38.49
0.86,2.29,-0.84,39.57,17.86,51.69
0.88,2.26,-0.67,10.26,50.95,62.85
0.74,2.26,-0.49,-28.81,74.63,61.77
0.69,2.31,-0.4,-78.03,93.02,46.47
0.64,2.33,-0.32,-138.56,111.1,30.41
0.48,2.16,-0.26,-192.6,123.31,16.99
0.39,2.2,-0.26,-252.69,128.73,-14.61
0.49,2.4,-0.32,-340.15,139.33,-60.4
0.54,2.36,-0.42,-442.38,154.29,-118.6
0.44,2.22,-0.51,-500.27,163.36,-192.61
0.39,2.19,-0.64,-500.27,171.65,-264.87
0.42,2.12,-0.85,-500.27,167.11,-371.48
0.54,1.95,-1.15,-500.27,164.12,-474.47
