acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.14,-0.89,-0.01,-2.79,-7.98,-9.16
-0.02,-0.84,0.06,-6.66,-3.31,-11.45
0.09,-0.87,0.3,-13.62,7.97,-30.66
-0.2,-0.98,-0.17,-9.95,4.85,-34.79
-0.14,-0.8,-0.06,-17.24,-5.63,-24.58
-0.16,-0.86,-0.1,-20.96,-13.65,-12.24
-0.03,-0.83,0.01,-24.81,-16.6,-13.86
-0.11,-0.89,-0.03,-26.53,-19.98,-17.1
-0.18,-0.97,-0.07,-27.76,-22.43,-9.3
-0.1,-0.83,-0.06,-29.18,-26.32,-0.6
-0.04,-0.83,-0.03,-36.43,-27.57,6.03
-0.05,-0.8,-0.04,-42.43,-26.7,1.69
-0.1,-0.8,-0.03,-50.98,-27.59,-4.58
-0.14,-0.87,-0.02,-58.11,-30.46,-4.96
-0.21,-0.97,0.0,-62.09,-37.54,-2.93
-0.24,-1.12,0.01,-59.83,-47.74,-0.52
-0.23,-1.34,0.04,-50.05,-60.6,5.01
-0.16,-1.56,0.04,-30.82,-69.16,19.48
-0.04,-1.76,0.02,-3.05,-69.5,42.26
0.11,-1.86,0.01,30.27,-62.17,66.95
0.22,-1.95,-0.0,65.79,-46.61,92.9
0.24,-1.96,-0.02,100.67,-28.09,121.97
0.09,-1.92,0.01,131.89,-18.35,146.44
-0.03,-1.91,0.04,163.16,-13.88,173.22
-0.12,-1.91,0.04,194.87,-13.08,195.92
-0.1,-1.87,0.05,225.6,-19.36,215.94
0.08,-1.78,-0.02,252.69,-18.63,220.46
0.23,-1.6,-0.1,271.63,-4.52,224.66
0.14,-1.55,-0.07,290.93,12.11,238.46
0.03,-1.54,-0.04,319.74,23.18,261.24
0.01,-1.37,-0.08,345.16,29.94,286.11
0.05,-1.09,-0.16,357.4,38.0,302.0
-0.0,-0.86,-0.18,356.95,42.44,303.48
-0.29,-0.78,-0.09,350.52,29.04,284.93
-0.47,-0.75,0.02,348.64,1.69,270.24
-0.34,-0.67,-0.0,350.02,-14.75,262.03
-0.16,-0.57,-0.07,350.49,-13.94,267.8
-0.02,-0.53,-0.07,350.58,-1.13,274.67
-0.04,-0.56,-0.03,354.47,8.7,270.4
0.01,-0.53,-0.05,359.97,18.23,259.83
-0.02,-0.39,-0.07,362.56,26.52,246.85
-0.03,-0.26,-0.09,359.69,34.7,238.44
-0.07,-0.17,-0.11,356.92,41.04,222.93
-0.17,-0.17,-0.07,355.56,42.05,202.52
-0.23,-0.25,-0.04,360.6,36.38,183.94
-0.13,-0.22,-0.1,370.2,37.37,164.64
-0.11,-0.11,-0.15,376.98,46.27,147.31
-0.04,-0.0,-0.23,381.4,57.69,143.04
-0.01,0.14,-0.3,384.17,74.63,138.81
-0.06,0.33,-0.33,378.85,87.89,131.19
-0.14,0.42,-0.36,367.62,95.21,119.02
-0.19,0.43,-0.39,358.18,100.18,101.08
-0.31,0.29,-0.38,358.79,105.65,86.9
-0.32,0.15,-0.39,370.17,100.85,79.15
-0.21,0.21,-0.48,379.71,102.92,56.17
-0.12,0.49,-0.66,374.4,117.63,23.69
-0.27,0.74,-0.67,355.97,126.06,10.12
-0.35,0.8,-0.65,341.01,131.71,20.84
-0.33,0.84,-0.65,329.71,139.04,39.79
-0.37,0.9,-0.7,317.65,145.02,49.77
-0.45,0.87,-0.7,303.51,142.79,52.11
-0.5,0.84,-0.74,288.56,133.33,36.63
-0.58,0.82,-0.77,273.73,121.69,15.08
-0.63,0.8,-0.83,263.08,109.86,-3.22
-0.66,0.77,-0.89,257.16,99.51,-17.97
-0.69,0.93,-0.98,246.66,91.19,-32.35
-0.69,1.23,-1.07,223.01,88.17,-42.37
-0.8,1.48,-1.06,190.9,83.04,-36.05
-0.9,1.63,-1.05,156.53,76.7,-17.94
-1.01,1.68,-1.01,120.29,50.9,-18.41
-1.05,1.57,-1.05,88.99,28.08,-24.15
-1.0,1.44,-1.08,64.35,13.05,-29.31
-1.06,1.4,-1.09,41.8,-6.6,-46.17
-1.03,1.45,-1.1,17.37,-25.42,-64.92
-1.01,1.49,-1.08,-5.83,-39.6,-73.59
-0.95,1.52,-1.05,-27.37,-47.48,-69.13
-0.92,1.54,-1.0,-49.95,-53.86,-62.61
-0.9,1.46,-0.96,-71.62,-59.8,-59.28
