acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.02,-0.93,-0.0,-8.82,-0.12,6.18
-0.0,-0.96,0.01,-9.57,-1.02,6.41
0.01,-0.98,0.01,-10.11,-1.3,6.41
0.04,-1.01,0.02,-9.16,-0.82,7.08
0.03,-1.01,0.03,-8.26,0.2,7.02
0.03,-1.02,0.04,-7.8,0.06,5.76
0.03,-1.02,0.05,-7.39,-0.44,3.42
0.01,-1.06,0.08,-5.89,-2.18,2.02
0.02,-1.05,0.09,-4.38,-3.1,2.03
0.03,-1.03,0.09,-4.69,-3.19,2.78
0.07,-1.03,0.09,-5.74,-2.38,3.18
0.05,-1.06,0.12,-5.34,-2.23,3.4
0.05,-1.11,0.14,-2.17,-1.39,4.7
0.01,-1.08,0.17,0.61,-4.44,4.23
0.03,-1.08,0.18,3.56,-6.95,4.53
0.04,-1.05,0.17,6.35,-8.93,5.66
0.08,-1.02,0.15,8.84,-8.96,9.44
0.07,-0.97,0.16,10.15,-9.15,13.27
0.05,-0.94,0.16,7.69,-11.62,12.27
0.06,-0.94,0.14,2.63,-14.29,8.24
0.08,-0.99,0.13,-3.05,-14.98,1.33
0.07,-1.1,0.14,-4.03,-14.95,-5.91
0.05,-1.16,0.15,-1.39,-13.98,-10.85
0.0,-1.19,0.19,5.3,-15.5,-12.69
-0.03,-1.12,0.2,11.21,-17.73,-13.82
-0.05,-1.07,0.18,14.9,-22.03,-12.02
-0.03,-1.02,0.17,16.58,-24.37,-7.36
0.04,-1.0,0.13,18.31,-22.95,-0.9
0.09,-0.92,0.11,17.37,-20.99,5.37
0.16,-0.9,0.09,14.11,-18.17,10.81
0.21,-0.91,0.07,13.04,-14.92,13.16
0.28,-0.83,0.02,7.85,-8.99,12.15
0.29,-0.83,0.01,-1.5,-2.93,2.66
0.22,-0.84,0.0,-12.29,1.36,-12.38
0.06,-0.86,0.01,-22.26,1.22,-22.99
0.0,-1.0,0.03,-26.56,0.0,-24.49
-0.07,-1.1,0.07,-22.31,-5.01,-20.46
0.01,-1.23,0.05,-8.75,-3.6,-7.11
0.08,-1.16,0.02,3.47,0.95,3.65
0.12,-1.04,-0.01,8.67,5.4,6.23
0.13,-0.95,-0.03,10.95,9.1,7.82
0.09,-0.89,-0.04,8.29,11.86,9.01
0.11,-0.81,-0.12,-0.17,17.66,8.34
0.06,-0.81,-0.15,-9.19,20.73,9.22
-0.01,-0.83,-0.14,-17.65,22.49,12.11
-0.08,-0.92,-0.08,-21.27,19.28,14.82
-0.07,-1.0,-0.07,-18.24,18.05,19.6
-0.05,-1.02,-0.05,-12.55,16.43,21.44
0.01,-0.97,-0.11,-9.21,18.56,19.07
0.02,-0.91,-0.14,-10.44,20.66,13.73
0.0,-0.93,-0.2,-11.11,22.89,8.81
-0.06,-0.92,-0.23,-16.11,22.61,4.96
-0.08,-0.97,-0.26,-20.61,24.34,1.74
-0.13,-0.99,-0.25,-24.02,24.46,-0.29
-0.2,-1.01,-0.24,-25.39,21.77,-0.03
-0.28,-1.07,-0.2,-22.79,15.44,2.78
-0.3,-1.15,-0.18,-13.37,6.09,6.95
-0.17,-1.16,-0.23,-2.92,2.26,10.09
-0.06,-1.13,-0.26,6.2,4.76,11.98
0.02,-1.03,-0.33,8.63,10.24,8.4
-0.03,-0.98,-0.36,5.18,12.93,0.92
-0.09,-0.94,-0.37,-2.49,13.73,-6.98
-0.14,-0.96,-0.36,-7.95,12.75,-10.14
-0.18,-0.97,-0.36,-10.78,11.27,-7.02
-0.18,-1.0,-0.33,-11.48,9.89,-2.11
-0.15,-1.03,-0.32,-9.79,8.85,3.34
-0.13,-1.04,-0.31,-7.86,7.5,3.68
-0.1,-1.0,-0.31,-8.67,5.62,-0.02
-0.11,-1.03,-0.31,-9.13,3.59,-5.47
-0.11,-1.04,-0.32,-7.88,1.5,-8.05
-0.13,-1.04,-0.32,-5.63,0.26,-7.73
-0.15,-1.01,-0.32,-5.18,-2.38,-6.82
-0.1,-1.02,-0.34,-4.49,-3.04,-4.06
-0.1,-1.01,-0.31,-3.13,-3.04,-1.48
-0.08,-0.99,-0.3,-2.69,-4.15,-1.39
-0.06,-0.96,-0.29,-4.56,-6.4,-3.34
-0.03,-0.96,-0.29,-4.99,-7.34,-4.49
0.0,-0.96,-0.29,-4.44,-6.6,-3.97
0.02,-0.96,-0.29,-2.92,-4.47,-2.29
0.01,-1.0,-0.28,0.14,-2.98,0.23
-0.02,-1.01,-0.28,4.44,-1.5,3.85
0.01,-1.0,-0.29,8.29,2.29,7.54
-0.04,-0.93,-0.3,8.11,4.52,7.91
-0.07,-0.92,-0.29,3.91,4.31,2.66
-0.08,-0.91,-0.27,-0.46,3.42,-2.72
-0.11,-0.93,-0.27,-2.82,2.78,-4.6
-0.16,-0.94,-0.24,-4.14,0.61,-1.82
-0.17,-0.97,-0.22,-4.5,-1.88,1.28
-0.12,-1.02,-0.2,-3.25,-3.73,4.73
-0.06,-1.03,-0.19,-0.23,-3.39,7.36
0.01,-1.02,-0.21,2.46,-0.18,9.28
0.02,-1.01,-0.18,6.0,2.98,9.22
-0.04,-0.97,-0.18,6.78,3.4,6.44
-0.04,-0.93,-0.19,5.04,3.25,2.12
-0.04,-0.92,-0.18,1.54,1.44,-0.46
-0.05,-0.92,-0.16,-2.56,0.23,0.2
-0.01,-0.95,-0.17,-6.08,2.55,2.81
-0.03,-0.97,-0.11,-7.86,5.02,7.77
-0.03,-1.0,-0.06,-6.06,5.27,13.51
0.04,-1.01,-0.04,-4.23,7.34,17.28
