acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.27,-0.98,-0.12,248.41,52.98,46.52
0.23,-0.89,-0.17,285.22,54.2,55.91
0.21,-0.69,-0.23,311.89,52.98,61.97
0.24,-0.48,-0.32,327.27,53.95,67.16
0.25,-0.28,-0.38,333.27,59.71,77.19
0.23,-0.19,-0.38,336.98,63.85,88.72
0.31,-0.17,-0.43,341.44,73.39,100.06
0.24,0.05,-0.34,332.61,93.54,108.89
0.13,-0.06,-0.3,337.85,96.9,120.52
-0.05,0.23,-0.19,313.88,125.22,124.31
0.12,0.01,-0.24,300.35,121.48,103.47
0.11,0.05,-0.16,261.31,132.37,64.98
0.2,0.13,-0.13,216.63,142.35,22.84
-0.3,0.02,0.3,188.64,143.51,1.36
-0.42,0.04,0.51,181.98,147.27,8.43
-0.35,0.07,0.56,184.18,166.5,28.43
-0.46,0.16,0.68,182.29,180.34,46.72
-0.78,0.16,0.95,182.4,167.54,53.36
-0.64,0.22,0.95,146.2,183.08,34.06
-0.72,0.19,1.06,110.53,168.29,-2.95
-0.71,0.2,1.09,83.42,165.79,-24.72
-1.1,0.07,1.42,78.53,151.63,-21.05
-0.93,0.22,1.53,84.31,154.03,-0.41
-1.04,0.29,1.65,92.17,141.44,15.56
-1.17,0.29,1.75,72.87,125.27,15.21
-1.15,0.16,1.82,67.53,104.7,15.74
-1.08,0.15,1.86,61.27,89.39,15.6
-1.03,0.18,1.86,62.67,72.11,16.34
-0.99,0.25,1.86,54.58,57.6,13.08
-0.93,0.35,1.82,33.73,41.73,7.5
-0.93,0.42,1.8,10.79,19.89,-0.49
-0.83,0.39,1.77,-14.84,5.07,2.03
-0.73,0.2,1.76,-27.11,-6.38,3.45
-0.78,0.13,1.82,-38.64,-20.37,-2.09
-0.72,-0.04,1.75,-38.02,-37.59,-2.75
-0.8,0.17,1.79,-64.9,-49.47,-10.61
-0.76,0.11,1.73,-78.27,-68.05,-15.31
-0.79,0.07,1.74,-95.01,-88.38,-21.6
-0.69,-0.09,1.68,-102.5,-103.36,-24.43
-0.68,-0.15,1.63,-102.61,-115.69,-24.82
-0.66,-0.12,1.54,-107.24,-126.61,-24.12
-0.67,-0.05,1.47,-117.94,-138.61,-25.13
-0.62,0.03,1.33,-136.98,-147.66,-27.74
-0.62,0.04,1.24,-158.66,-162.41,-33.92
-0.51,-0.01,1.09,-180.75,-170.26,-41.19
-0.45,-0.05,0.97,-201.53,-178.29,-49.31
-0.37,-0.05,0.82,-219.53,-182.24,-54.56
-0.26,-0.11,0.68,-234.55,-180.76,-57.18
-0.25,-0.21,0.62,-242.08,-179.28,-60.6
-0.2,-0.34,0.56,-239.8,-177.4,-60.37
-0.12,-0.34,0.48,-234.66,-171.51,-59.21
-0.06,-0.26,0.41,-232.95,-162.18,-53.63
0.02,-0.3,0.32,-223.21,-149.94,-39.37
0.08,-0.33,0.23,-212.99,-132.7,-25.59
-0.01,-0.24,0.24,-210.63,-121.28,-21.62
-0.12,-0.16,0.22,-224.66,-123.56,-26.7
0.0,-0.26,0.17,-234.9,-115.28,-30.34
0.01,-0.52,0.22,-224.63,-115.85,-39.39
0.05,-0.58,0.24,-206.61,-113.88,-41.63
0.18,-0.59,0.11,-186.66,-106.7,-36.0
0.15,-0.56,0.1,-164.46,-95.71,-25.42
0.06,-0.54,0.12,-152.0,-89.37,-14.17
0.1,-0.47,0.11,-143.8,-83.86,-3.44
0.02,-0.46,0.2,-137.24,-79.34,2.18
0.15,-0.47,0.05,-143.4,-75.16,-1.98
0.17,-0.53,0.06,-148.09,-70.87,-12.63
0.15,-0.58,0.07,-154.44,-71.45,-23.66
0.23,-0.7,0.02,-150.99,-64.89,-29.51
0.29,-0.83,0.03,-140.81,-57.22,-33.25
0.26,-0.84,0.04,-124.76,-49.27,-31.53
0.1,-0.61,0.17,-111.08,-54.38,-22.78
0.26,-0.63,-0.01,-100.47,-33.51,-2.9
0.17,-0.66,0.01,-94.09,-29.45,2.72
0.18,-0.59,0.0,-104.75,-27.51,-0.46
0.3,-0.85,-0.01,-99.94,-26.82,-3.62
0.33,-1.04,-0.02,-84.18,-19.82,-4.85
0.3,-0.99,0.02,-72.14,-14.76,-6.23
0.31,-0.99,0.01,-60.6,-10.43,-8.18
0.3,-0.98,0.01,-48.05,-6.21,-6.98
0.3,-0.94,0.01,-36.05,-4.89,-5.16
0.33,-0.87,-0.01,-27.31,-0.66,-0.56
0.32,-0.72,-0.02,-28.46,2.23,-1.21
0.35,-0.68,-0.04,-33.07,6.05,0.76
0.32,-0.68,-0.02,-40.47,9.16,-0.69
0.31,-0.78,-0.0,-42.67,13.62,3.07
0.28,-0.96,0.07,-31.89,15.82,7.22
0.24,-1.07,0.13,-14.0,14.63,14.63
0.29,-1.03,0.09,1.76,14.53,19.91
0.29,-0.83,0.05,-0.98,13.42,14.72
0.28,-0.81,0.06,-8.14,12.23,9.63
0.25,-0.88,0.08,-9.92,11.21,6.78
0.26,-0.94,0.09,-7.39,12.82,9.86
0.26,-0.95,0.1,-3.13,13.37,14.44
0.26,-0.87,0.09,-4.58,14.02,14.05
0.26,-0.82,0.08,-11.86,12.73,12.55
0.29,-0.91,0.07,-15.6,13.51,11.98
0.25,-0.91,0.12,-19.95,12.85,9.86
0.26,-1.02,0.11,-18.21,14.03,12.12
0.27,-1.12,0.15,-11.37,13.25,11.05
0.28,-1.18,0.14,-4.02,12.72,7.07
