acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.29,-1.61,-0.09,135.82,-0.26,75.76
0.34,-1.54,-0.14,164.08,11.24,79.13
0.31,-1.4,-0.19,185.89,20.38,84.06
0.31,-1.3,-0.24,201.34,26.34,84.12
0.35,-1.37,-0.24,223.22,36.92,94.67
0.35,-1.47,-0.25,258.32,50.4,107.42
0.33,-1.45,-0.25,292.35,61.94,114.46
0.29,-1.4,-0.28,324.63,73.37,120.23
0.29,-1.37,-0.29,358.89,85.54,125.94
0.24,-1.22,-0.33,389.07,95.36,120.99
0.19,-0.93,-0.38,404.27,106.15,111.5
0.15,-0.66,-0.41,406.38,116.96,104.34
0.04,-0.29,-0.41,394.82,126.12,95.44
-0.13,-0.11,-0.35,383.86,127.66,108.96
-0.22,0.07,-0.3,364.41,122.81,122.58
-0.27,0.17,-0.2,337.05,115.57,131.42
-0.18,0.11,-0.13,305.94,113.22,132.2
-0.11,-0.09,-0.02,281.39,113.77,119.82
-0.08,-0.33,0.09,270.4,116.46,94.89
-0.15,-0.42,0.16,266.9,115.79,65.44
-0.17,-0.34,0.17,261.3,117.08,45.94
-0.14,-0.24,0.13,256.93,124.38,41.83
-0.2,-0.12,0.13,254.43,131.74,54.63
-0.3,-0.03,0.14,251.79,135.47,72.85
-0.4,0.26,0.16,235.66,130.37,83.15
-0.44,0.32,0.24,207.15,123.94,79.05
-0.5,0.27,0.33,179.62,114.44,62.15
-0.5,0.11,0.4,161.36,108.44,42.9
-0.5,0.05,0.44,148.44,103.13,19.86
-0.52,0.02,0.45,136.37,98.7,-2.41
-0.53,0.01,0.45,127.76,97.33,-16.55
-0.53,0.03,0.47,124.32,102.34,-12.72
-0.49,0.02,0.5,128.05,113.56,5.1
-0.49,0.07,0.52,135.33,126.18,27.62
-0.56,0.23,0.53,137.95,132.73,43.56
-0.57,0.45,0.51,122.87,134.46,49.63
-0.57,0.53,0.54,94.93,132.6,35.83
-0.58,0.43,0.61,67.45,129.82,17.71
-0.7,0.25,0.71,46.35,124.32,-9.21
-0.85,0.24,0.82,25.37,112.03,-43.31
-0.95,0.26,0.92,4.93,97.71,-68.67
-0.99,0.2,0.97,-5.31,88.69,-72.53
-1.07,0.16,1.03,-9.11,92.58,-51.45
-1.17,0.19,1.12,-4.2,79.05,-30.46
-1.16,0.16,1.1,-5.24,79.8,-11.62
-1.24,0.23,1.18,-11.42,69.1,-5.33
-1.37,0.31,1.18,-32.81,48.41,-35.54
-1.43,0.44,1.19,-68.34,23.85,-71.11
-1.46,0.42,1.19,-102.67,0.21,-102.9
-1.45,0.27,1.21,-124.7,-19.07,-117.54
-1.41,0.06,1.21,-128.52,-32.2,-111.53
-1.37,-0.07,1.2,-120.44,-42.18,-92.66
-1.27,-0.08,1.15,-113.15,-49.04,-73.69
-1.16,-0.0,1.05,-115.5,-54.93,-64.21
-1.15,0.13,0.97,-135.79,-67.24,-82.06
-1.18,0.24,0.94,-174.09,-91.24,-119.97
-1.02,0.07,0.85,-201.08,-111.19,-144.84
-0.9,-0.12,0.81,-210.87,-119.18,-151.02
-0.82,-0.31,0.76,-207.4,-121.53,-143.94
-0.7,-0.41,0.72,-197.97,-118.66,-133.31
-0.67,-0.48,0.67,-187.24,-116.02,-123.31
-0.63,-0.42,0.64,-184.15,-113.88,-120.87
-0.74,-0.37,0.62,-190.67,-123.48,-132.09
-0.82,-0.2,0.59,-213.16,-147.59,-161.77
-0.68,-0.3,0.52,-232.78,-166.82,-182.76
-0.44,-0.54,0.46,-232.99,-169.74,-187.36
-0.28,-0.77,0.44,-216.64,-158.29,-174.38
-0.25,-0.84,0.44,-193.73,-142.21,-152.7
-0.32,-0.74,0.43,-175.79,-134.55,-140.06
-0.36,-0.57,0.39,-174.98,-134.73,-138.63
-0.33,-0.53,0.32,-178.67,-136.47,-138.35
-0.3,-0.55,0.31,-182.75,-140.05,-139.19
-0.22,-0.57,0.25,-187.21,-141.04,-138.4
-0.18,-0.66,0.23,-186.12,-137.4,-129.31
-0.16,-0.73,0.23,-180.93,-134.49,-120.6
-0.11,-0.79,0.22,-172.11,-128.75,-113.42
-0.08,-0.79,0.22,-162.76,-122.05,-109.73
-0.12,-0.75,0.21,-155.33,-117.21,-100.52
-0.21,-0.7,0.19,-151.94,-117.77,-92.06
-0.23,-0.68,0.17,-151.91,-125.25,-87.98
-0.04,-0.76,0.07,-149.88,-125.4,-83.36
0.14,-0.79,0.02,-147.57,-114.14,-85.25
0.18,-0.8,0.02,-145.95,-104.84,-93.71
0.16,-0.83,0.04,-143.91,-96.73,-98.75
0.08,-0.84,0.06,-137.25,-91.13,-96.06
0.05,-0.84,0.06,-128.02,-89.01,-85.01
0.04,-0.85,0.03,-115.56,-83.71,-69.86
0.04,-0.86,0.01,-103.25,-81.08,-57.4
0.1,-0.86,-0.03,-93.37,-78.2,-48.72
0.2,-0.88,-0.05,-84.69,-71.42,-44.08
0.26,-0.88,-0.09,-77.28,-63.22,-47.71
0.24,-0.85,-0.08,-73.57,-57.39,-56.67
0.22,-0.8,-0.1,-71.42,-52.05,-59.82
0.14,-0.78,-0.09,-67.98,-48.6,-55.66
0.11,-0.76,-0.09,-63.28,-47.51,-46.03
0.14,-0.77,-0.11,-56.43,-44.87,-34.14
0.17,-0.79,-0.12,-48.4,-41.62,-24.18
0.21,-0.77,-0.14,-42.85,-37.6,-20.78
0.24,-0.76,-0.14,-40.81,-33.24,-23.18
0.26,-0.74,-0.14,-41.02,-28.06,-26.63
