acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.1,-1.01,-0.07,-0.02,5.65,2.81
0.1,-1.0,-0.08,1.82,4.35,3.88
0.12,-1.01,-0.1,3.19,3.85,5.27
0.16,-1.0,-0.12,3.7,4.82,5.99
0.16,-0.97,-0.12,2.37,6.96,5.08
0.15,-0.96,-0.12,-1.18,8.1,3.37
0.16,-0.97,-0.1,-5.17,9.92,2.6
0.14,-0.99,-0.09,-5.83,11.27,2.44
0.1,-0.99,-0.06,-6.82,11.74,2.84
0.11,-1.0,-0.06,-8.95,12.08,3.1
0.12,-1.02,-0.04,-10.43,13.53,2.86
0.08,-1.05,0.02,-13.44,13.18,0.95
0.04,-1.09,0.07,-15.2,11.3,-1.44
0.0,-1.14,0.12,-15.27,9.56,-3.79
-0.06,-1.18,0.22,-16.49,4.54,-10.08
-0.12,-1.23,0.3,-16.9,-1.47,-17.05
-0.21,-1.29,0.42,-13.26,-10.79,-23.67
-0.26,-1.27,0.48,-9.69,-21.36,-28.37
-0.39,-1.27,0.6,-9.47,-34.82,-36.56
-0.5,-1.28,0.74,-9.74,-52.6,-45.76
-0.71,-1.24,0.92,-13.01,-74.88,-60.48
-1.11,-1.25,1.2,-23.82,-112.21,-83.56
-1.32,-1.27,1.31,-36.05,-158.51,-102.22
-1.47,-1.22,1.28,-37.89,-203.87,-110.37
-1.42,-1.22,1.05,-26.57,-236.34,-102.04
-1.36,-1.11,0.78,-14.73,-250.14,-85.74
-1.36,-1.01,0.54,-7.88,-250.14,-70.82
-1.29,-1.06,0.26,-1.63,-250.14,-57.15
-1.17,-1.24,0.03,11.98,-250.14,-46.85
-1.05,-1.45,-0.17,35.5,-250.14,-43.8
-0.98,-1.46,-0.41,61.04,-250.14,-46.8
-0.69,-1.33,-0.72,79.02,-250.14,-45.02
-0.43,-1.03,-1.04,81.97,-250.14,-49.15
-0.15,-0.92,-1.4,73.22,-250.14,-52.08
-0.01,-0.81,-1.31,65.69,-250.14,-54.12
0.02,-0.65,-1.27,58.01,-250.14,-50.72
0.16,-0.52,-1.4,40.87,-250.14,-50.76
0.26,-0.62,-1.35,30.71,-250.14,-48.06
0.31,-0.75,-1.49,42.37,-250.14,-48.95
0.38,-0.66,-1.49,45.1,-248.95,-38.92
0.52,-0.6,-1.59,48.7,-224.65,-26.43
0.74,-0.65,-1.86,50.58,-194.05,-18.29
0.72,-0.62,-1.67,40.97,-177.13,-13.66
0.9,-0.58,-1.76,30.39,-144.37,-11.43
0.97,-0.69,-1.79,21.65,-106.71,-10.47
0.92,-0.72,-1.66,20.07,-78.8,-9.41
0.96,-0.81,-1.68,21.27,-52.98,-2.51
0.89,-0.75,-1.59,19.68,-22.92,-0.56
0.87,-0.78,-1.55,27.03,3.73,-3.15
0.88,-0.75,-1.58,31.36,30.65,-5.07
0.81,-0.64,-1.53,28.85,58.84,-2.89
0.71,-0.52,-1.48,20.47,83.67,-1.69
0.62,-0.46,-1.43,8.08,106.55,2.66
0.56,-0.45,-1.41,-2.2,122.99,11.57
0.44,-0.5,-1.35,-12.72,143.29,19.27
0.4,-0.63,-1.33,-19.51,160.25,28.02
0.39,-0.76,-1.34,-19.94,174.82,33.73
0.44,-0.84,-1.35,-15.27,193.13,39.21
0.45,-0.8,-1.31,-10.86,208.32,40.59
0.43,-0.71,-1.31,-12.54,228.79,32.49
0.33,-0.65,-1.24,-20.82,239.65,28.27
0.18,-0.58,-1.15,-29.27,248.6,29.05
0.14,-0.59,-1.19,-37.18,250.13,34.02
0.05,-0.56,-1.13,-48.24,250.13,45.37
-0.22,-0.66,-0.91,-69.28,250.13,47.47
-0.3,-0.79,-0.71,-84.76,250.13,44.6
-0.36,-1.12,-0.49,-88.73,250.13,43.69
-0.42,-1.35,-0.26,-69.69,250.13,43.4
-0.47,-1.39,-0.13,-44.43,250.13,38.5
-0.42,-1.24,-0.11,-33.03,250.13,33.76
-0.69,-0.67,0.1,-38.18,250.13,32.19
-0.38,-0.68,-0.11,-77.18,250.13,23.76
-0.59,-0.92,0.09,-92.87,250.13,38.27
-0.87,-1.1,0.47,-98.22,232.29,41.92
-0.91,-1.57,0.54,-70.69,208.84,52.95
-0.83,-1.47,0.69,-71.58,182.48,53.64
-0.94,-1.61,0.95,-28.89,161.08,28.92
-0.73,-1.66,0.8,-36.4,142.51,27.56
-0.54,-2.0,0.62,22.64,116.16,21.94
-0.6,-1.49,0.71,24.66,112.24,17.24
-0.74,-1.44,0.73,33.11,102.74,3.56
-0.34,-1.15,0.44,19.2,98.59,-4.55
-0.37,-1.03,0.44,8.47,89.15,-8.65
-0.41,-0.85,0.44,-2.82,72.93,-7.34
-0.39,-0.89,0.41,-2.79,50.88,1.36
-0.28,-0.93,0.35,-1.03,33.34,12.31
-0.13,-1.0,0.25,5.2,19.5,16.69
-0.02,-1.02,0.16,8.89,10.02,17.05
0.07,-1.04,0.05,13.5,5.97,14.05
0.17,-0.96,-0.05,11.76,5.3,6.82
0.22,-0.92,-0.1,5.73,7.17,-0.03
0.2,-0.93,-0.15,-0.2,6.63,-4.46
0.21,-0.95,-0.18,-1.47,8.4,-3.27
0.19,-0.99,-0.19,1.68,8.42,2.03
0.18,-0.96,-0.18,3.64,8.66,7.23
0.15,-0.96,-0.18,4.05,6.53,10.55
0.15,-0.96,-0.17,1.92,4.21,11.95
0.18,-1.03,-0.19,1.31,4.67,12.5
0.2,-1.07,-0.2,4.4,5.08,10.83
0.2,-1.04,-0.2,4.5,7.21,7.69
