acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.06,-0.98,-0.17,1.85,11.53,3.77
-0.06,-0.96,-0.18,1.98,13.25,4.99
-0.05,-0.96,-0.16,2.38,14.95,7.44
-0.07,-0.97,-0.17,1.19,17.71,10.84
-0.09,-0.97,-0.11,1.24,19.25,12.81
-0.17,-0.97,-0.08,0.47,14.09,15.69
-0.1,-0.97,-0.08,-1.15,24.53,15.8
-0.18,-0.93,-0.0,-4.66,23.18,18.44
-0.21,-0.95,0.03,-8.72,24.95,19.8
-0.32,-0.96,0.13,-13.25,20.58,17.73
-0.37,-0.94,0.21,-24.11,19.73,17.11
-0.49,-0.96,0.3,-32.78,12.37,13.47
-0.58,-1.01,0.37,-42.14,5.01,11.57
-0.69,-1.04,0.48,-50.34,-4.99,8.95
-0.78,-1.09,0.57,-56.31,-20.6,-2.9
-0.96,-0.99,0.72,-64.46,-40.31,8.85
-1.15,-1.18,0.86,-70.89,-69.53,-0.49
-1.24,-1.29,0.9,-72.18,-103.92,-13.66
-1.26,-1.33,0.87,-68.12,-136.96,-27.71
-1.18,-1.34,0.77,-59.48,-161.44,-41.34
-1.14,-1.19,0.65,-54.78,-178.23,-54.47
-1.22,-0.99,0.66,-58.29,-192.21,-65.79
-1.38,-0.73,0.67,-72.56,-218.9,-67.05
-1.5,-0.58,0.66,-93.6,-247.05,-66.29
-1.62,-0.61,0.62,-109.05,-278.76,-63.19
-1.77,-0.63,0.6,-121.19,-316.64,-70.21
-1.71,-0.69,0.49,-127.42,-352.49,-76.21
-1.69,-0.92,0.27,-116.43,-377.88,-73.76
-1.49,-0.83,0.03,-103.62,-377.69,-78.43
-1.51,-0.77,-0.12,-91.13,-391.98,-78.29
-1.42,-0.67,-0.34,-87.16,-392.15,-84.23
-1.41,-0.57,-0.51,-89.66,-395.16,-94.27
-1.33,-0.52,-0.82,-86.79,-398.0,-95.02
-1.29,-0.43,-1.09,-81.31,-397.3,-88.05
-1.18,-0.46,-1.42,-69.13,-395.77,-78.58
-1.09,-0.2,-1.57,-81.54,-392.61,-78.18
-0.91,-0.06,-2.02,-107.21,-377.02,-80.44
-0.66,-0.05,-2.26,-139.74,-359.42,-91.76
-0.35,-0.24,-2.62,-169.19,-335.42,-107.85
0.03,-0.54,-2.92,-161.94,-307.31,-116.38
0.44,-0.89,-3.2,-104.58,-270.56,-94.15
0.85,-0.95,-3.72,-32.87,-222.46,-75.5
1.47,-0.85,-3.82,26.73,-143.73,-46.63
1.54,-0.42,-3.81,51.1,-66.12,-20.4
1.45,-0.13,-3.6,37.53,4.15,-1.94
1.28,-0.1,-3.37,14.26,82.72,1.45
1.01,-0.17,-2.96,-8.9,146.09,20.12
0.63,-0.5,-2.63,-14.38,194.34,29.82
0.43,-0.79,-2.39,-6.92,244.14,22.84
0.11,-0.84,-2.08,-4.9,271.53,11.91
-0.13,-1.01,-1.92,10.49,291.4,8.96
-0.29,-1.04,-1.77,40.17,305.97,19.56
-0.36,-0.93,-1.76,66.98,322.69,27.86
-0.41,-0.81,-1.72,86.81,338.14,35.88
-0.45,-0.73,-1.71,101.57,351.24,40.58
-0.46,-0.65,-1.67,111.82,367.4,45.66
-0.49,-0.63,-1.64,119.39,387.63,49.44
-0.61,-0.6,-1.55,129.33,401.37,54.56
-0.69,-0.5,-1.43,138.09,413.6,63.97
-0.79,-0.45,-1.3,142.56,420.98,72.66
-0.95,-0.46,-1.12,141.19,421.54,70.2
-1.18,-0.48,-0.8,132.08,407.08,60.82
-1.29,-0.58,-0.52,123.8,385.27,55.5
-1.4,-0.73,-0.26,129.21,357.73,54.61
-1.61,-0.7,0.1,135.04,321.02,53.24
-1.6,-0.61,0.36,125.4,280.35,48.76
-1.46,-0.48,0.45,98.41,246.29,34.92
-0.97,-0.5,0.37,59.19,223.01,16.5
-1.06,-0.36,0.48,11.85,223.54,-1.74
-1.11,-0.61,0.59,-4.79,195.76,3.25
-1.2,-0.89,0.77,6.69,172.03,21.36
-1.17,-0.99,0.87,29.18,152.24,40.73
-1.16,-1.01,0.96,50.63,127.65,53.48
-0.97,-0.8,1.0,51.33,103.18,49.83
-1.05,-0.85,1.01,39.69,69.85,40.58
-0.78,-0.78,0.86,18.96,50.7,21.15
-0.62,-0.7,0.75,-8.84,35.07,4.75
-0.44,-0.69,0.53,-33.89,34.11,-10.21
-0.38,-0.7,0.44,-55.59,37.01,-19.48
-0.43,-0.74,0.42,-67.25,34.6,-17.94
-0.49,-0.89,0.42,-63.82,26.02,-3.97
-0.52,-1.07,0.38,-47.6,13.91,11.53
-0.47,-1.17,0.32,-29.45,2.75,21.3
-0.39,-1.2,0.23,-14.78,-7.1,24.23
-0.29,-1.17,0.13,-8.0,-13.73,21.21
-0.21,-1.14,0.03,-7.48,-17.6,17.62
-0.15,-1.14,-0.06,-10.78,-19.73,12.89
-0.09,-1.19,-0.15,-13.63,-18.05,9.28
-0.03,-1.22,-0.2,-12.81,-15.01,4.55
-0.04,-1.26,-0.22,-8.0,-18.31,4.09
0.01,-1.27,-0.24,-0.44,-14.5,2.79
0.03,-1.25,-0.24,7.4,-12.14,4.0
0.04,-1.22,-0.26,13.34,-8.08,4.27
0.03,-1.18,-0.26,16.5,-4.82,2.84
-0.0,-1.15,-0.22,16.23,-2.12,0.03
-0.05,-1.11,-0.19,14.26,-1.79,-2.5
-0.07,-1.08,-0.16,13.66,-2.49,-3.88
-0.1,-1.06,-0.13,12.99,-2.12,-4.34
-0.13,-1.03,-0.1,11.8,-3.62,-4.66
-0.12,-1.0,-0.1,10.78,-5.45,-4.85
