acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.06,-1.02,-0.07,-2.24,1.94,-0.34
-0.05,-1.02,-0.06,-1.92,1.71,-0.49
-0.05,-1.03,-0.07,-1.07,1.85,-0.12
-0.05,-1.02,-0.06,-1.04,1.77,-0.43
-0.05,-1.01,-0.06,-1.21,1.74,-0.61
-0.05,-1.0,-0.07,-1.6,1.34,-0.79
-0.05,-1.0,-0.07,-1.4,1.45,-0.66
-0.03,-1.0,-0.07,-1.83,1.86,-0.61
-0.04,-1.0,-0.08,-1.82,1.65,0.0
-0.05,-1.0,-0.06,-1.66,1.95,0.14
-0.05,-1.01,-0.06,-2.2,1.94,0.0
-0.05,-1.01,-0.06,-2.26,1.95,0.08
-0.04,-1.01,-0.07,-1.74,1.86,0.5
-0.05,-1.01,-0.08,-1.21,1.8,0.72
-0.05,-1.0,-0.06,-1.77,2.18,0.44
-0.05,-1.01,-0.08,-1.97,2.0,0.46
-0.04,-1.01,-0.07,-2.32,1.91,-0.06
-0.04,-1.01,-0.06,-1.98,1.88,0.17
-0.05,-1.01,-0.06,-1.42,1.77,0.18
-0.07,-1.01,-0.05,-0.58,1.02,1.05
-0.04,-1.02,-0.09,1.56,1.33,2.4
-0.04,-0.99,-0.08,-0.08,1.56,1.73
-0.06,-0.99,-0.07,-2.79,1.77,0.37
-0.05,-1.01,-0.07,-3.98,1.79,-0.72
-0.05,-1.03,-0.07,-3.5,1.37,-0.5
-0.05,-1.02,-0.07,-2.32,1.44,-0.46
-0.05,-1.02,-0.06,-1.48,1.37,-0.4
-0.06,-1.01,-0.06,-1.48,1.31,-0.23
-0.05,-1.01,-0.07,-1.48,1.08,-0.12
-0.04,-1.0,-0.08,-1.62,1.24,-0.37
-0.05,-1.0,-0.07,-1.47,1.86,-0.02
-0.05,-1.0,-0.07,-2.11,2.12,-0.12
-0.05,-1.01,-0.07,-2.7,1.92,-0.52
-0.05,-1.01,-0.07,-2.56,1.94,-0.41
-0.06,-1.02,-0.07,-1.54,1.91,0.31
-0.05,-1.01,-0.07,-0.78,1.88,0.84
-0.04,-1.01,-0.07,-0.64,2.29,1.11
-0.05,-0.99,-0.07,-1.54,2.43,0.85
-0.05,-1.0,-0.05,-3.15,2.46,0.35
-0.05,-1.0,-0.05,-4.03,1.89,0.11
-0.05,-1.03,-0.06,-3.3,1.82,0.18
-0.05,-1.02,-0.06,-2.47,1.86,0.58
-0.05,-1.01,-0.05,-2.15,1.85,0.41
-0.05,-1.02,-0.06,-2.17,1.21,0.17
-0.05,-1.0,-0.08,-2.43,1.33,0.09
-0.05,-1.01,-0.07,-2.81,1.77,-0.41
-0.06,-1.02,-0.06,-3.11,1.27,-0.63
-0.05,-1.03,-0.06,-2.49,1.02,-0.73
-0.05,-1.03,-0.07,-1.21,1.27,-0.35
-0.04,-1.02,-0.07,-0.38,1.53,0.41
-0.05,-1.0,-0.08,-0.43,1.21,0.47
-0.04,-0.99,-0.08,-1.45,1.68,0.61
-0.03,-0.99,-0.07,-1.69,2.03,0.58
-0.04,-0.99,-0.07,-2.84,2.12,0.32
-0.06,-1.01,-0.06,-3.42,2.15,-0.21
-0.05,-1.02,-0.07,-3.65,2.12,-0.14
-0.06,-1.02,-0.06,-2.66,2.17,0.15
-0.05,-1.02,-0.07,-1.48,2.09,0.7
-0.05,-1.02,-0.06,-0.98,1.8,0.75
-0.05,-1.01,-0.07,-1.04,1.95,0.5
-0.05,-1.0,-0.07,-1.88,1.68,0.14
-0.05,-1.01,-0.07,-2.44,1.3,-0.38
-0.06,-1.02,-0.06,-2.34,1.34,-0.63
-0.05,-1.02,-0.06,-1.54,1.13,-0.17
-0.05,-1.01,-0.05,-1.07,1.18,0.14
-0.04,-1.0,-0.06,-1.36,1.19,0.05
-0.04,-1.0,-0.08,-1.97,1.21,0.03
-0.04,-1.0,-0.08,-2.37,1.37,0.14
-0.04,-1.01,-0.07,-2.31,1.6,0.35
-0.05,-1.02,-0.07,-2.76,1.59,-0.18
-0.05,-1.02,-0.07,-2.32,1.53,-0.05
-0.05,-1.03,-0.08,-1.01,1.3,-0.03
-0.05,-1.01,-0.07,-1.24,1.27,-0.29
-0.04,-1.0,-0.07,-1.47,1.83,-0.27
-0.05,-1.01,-0.07,-1.8,1.59,-0.23
-0.04,-1.01,-0.07,-1.85,1.79,-0.26
-0.04,-1.01,-0.07,-1.74,1.92,0.06
