acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.1,-0.98,0.11,2.09,1.36,3.39
0.11,-0.94,0.09,-3.4,0.4,0.72
0.1,-0.95,0.1,-4.61,0.49,-0.02
0.1,-0.96,0.1,-4.18,0.31,0.32
0.1,-0.96,0.1,-2.95,0.53,2.08
0.11,-0.97,0.09,-1.62,0.64,2.89
0.11,-0.97,0.09,-1.59,0.35,2.81
0.11,-0.97,0.09,-2.96,0.24,1.69
0.13,-0.99,0.09,-2.85,0.55,0.75
0.11,-0.98,0.09,-2.46,0.81,0.73
0.11,-0.98,0.07,-2.31,1.22,0.79
0.1,-0.98,0.09,-2.49,1.19,0.6
0.11,-0.99,0.08,-1.27,1.27,0.95
0.11,-1.0,0.1,0.12,1.31,1.1
0.11,-1.0,0.09,0.79,1.51,0.81
0.11,-0.98,0.08,1.8,2.03,0.63
0.1,-0.96,0.08,1.22,2.24,0.52
0.11,-0.95,0.07,-0.31,2.09,0.93
0.11,-0.96,0.08,-0.7,2.34,0.82
0.1,-0.96,0.09,-0.9,1.98,1.15
0.1,-0.98,0.11,0.2,1.57,1.95
0.1,-0.96,0.09,0.67,1.15,2.08
0.11,-0.96,0.08,-0.47,1.11,1.83
0.1,-0.95,0.08,-1.31,1.47,1.94
0.09,-0.94,0.09,-2.41,0.7,2.15
0.1,-0.96,0.08,-3.21,0.58,3.3
0.12,-0.98,0.08,-3.3,0.99,2.95
0.11,-0.98,0.08,-4.76,0.56,1.16
0.12,-1.0,0.09,-4.24,0.78,0.23
0.12,-0.99,0.09,-3.21,1.34,-0.18
0.12,-0.98,0.08,-3.19,1.39,-0.96
0.11,-0.97,0.08,-4.05,1.37,-1.39
0.11,-0.99,0.09,-2.35,1.79,-0.6
0.1,-0.99,0.09,0.21,2.08,0.89
0.1,-0.95,0.08,0.05,2.14,2.27
0.1,-0.94,0.08,-1.15,1.76,2.87
0.12,-0.95,0.08,-2.15,2.11,1.53
0.11,-0.97,0.08,-3.42,1.89,-0.27
0.1,-0.97,0.09,-2.9,2.0,-0.76
0.09,-0.96,0.09,-1.59,2.29,0.03
0.08,-0.94,0.09,-1.94,1.56,1.11
0.09,-0.95,0.09,-2.95,0.92,1.19
0.11,-0.95,0.08,-3.74,0.95,0.61
0.1,-0.95,0.08,-4.52,1.19,0.32
0.09,-0.95,0.09,-4.9,1.44,1.33
0.1,-0.95,0.08,-4.56,1.24,2.31
0.09,-0.96,0.08,-4.9,1.66,2.84
0.1,-0.98,0.08,-5.13,1.6,2.55
0.1,-1.0,0.09,-4.35,1.6,1.74
0.09,-1.01,0.1,-2.6,1.82,1.19
0.1,-0.99,0.09,-1.94,1.25,0.47
0.11,-1.01,0.09,-1.36,0.98,-0.47
0.11,-0.99,0.08,-1.34,0.89,-1.91
0.11,-0.98,0.08,-1.97,0.89,-2.6
0.11,-0.97,0.08,-1.19,1.1,-2.81
0.11,-0.98,0.1,-0.49,1.37,-1.79
0.11,-0.98,0.1,0.58,1.56,-1.24
0.11,-0.98,0.08,1.21,1.85,-1.37
0.1,-0.97,0.08,1.08,2.23,-1.89
0.1,-0.96,0.07,-0.35,2.27,-2.95
0.1,-0.98,0.09,-2.27,1.73,-3.95
0.1,-1.0,0.1,-2.12,2.35,-4.81
0.08,-1.01,0.11,-1.57,1.86,-5.1
0.09,-1.0,0.12,1.36,1.74,-3.4
0.1,-0.98,0.09,2.73,2.02,-1.56
0.1,-0.93,0.08,1.86,2.05,-0.56
0.12,-0.91,0.07,-1.27,1.25,-0.87
0.12,-0.92,0.07,-3.53,1.27,-1.57
0.13,-0.94,0.08,-4.09,1.65,-1.04
0.12,-0.94,0.08,-3.45,1.65,-0.69
0.11,-0.95,0.07,-3.42,1.68,0.15
0.1,-0.95,0.08,-3.34,1.5,0.67
0.1,-0.98,0.08,-1.69,1.13,1.42
0.1,-0.98,0.08,-0.61,1.08,2.34
0.13,-0.96,0.06,-1.88,1.8,1.95
0.12,-0.95,0.05,-4.37,1.88,-0.05
0.11,-0.96,0.07,-5.31,1.86,-0.76
0.11,-0.99,0.09,-3.22,2.41,0.99
0.11,-0.97,0.08,-1.59,2.93,2.93
0.12,-0.96,0.08,-2.93,2.78,1.88
0.12,-0.97,0.09,-5.08,2.53,-0.5
0.11,-0.97,0.09,-6.09,2.24,-2.03
0.09,-1.0,0.1,-4.38,2.02,-0.69
0.09,-0.98,0.09,-1.16,1.88,2.63
0.1,-0.99,0.1,1.01,1.74,4.67
0.11,-0.98,0.1,1.42,2.09,5.53
0.11,-0.98,0.1,0.32,1.85,4.37
0.1,-0.99,0.09,-1.4,1.44,2.5
0.1,-0.98,0.09,-2.46,1.44,0.78
0.11,-0.99,0.08,-3.15,0.81,-0.78
0.1,-1.0,0.1,-2.96,0.44,-1.91
0.1,-1.01,0.1,-0.84,0.17,-1.73
0.11,-0.99,0.08,1.01,1.01,-1.18
0.09,-0.95,0.07,0.15,0.76,-0.52
0.1,-0.93,0.06,-1.4,0.38,0.32
0.1,-0.92,0.07,-3.22,-0.23,1.45
0.12,-0.97,0.08,-2.76,-0.2,2.69
0.15,-0.98,0.07,-0.99,1.57,2.38
0.14,-0.96,0.06,-2.37,2.17,0.67
0.13,-0.96,0.07,-3.28,2.2,-1.11
