acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.04,-0.97,0.02,-18.21,-8.96,1.18
0.01,-0.99,0.03,-17.18,-7.33,2.49
0.01,-1.02,0.02,-14.95,-4.69,2.95
0.01,-1.04,0.01,-12.35,-3.91,1.92
0.03,-1.04,0.01,-10.84,-3.59,1.01
0.09,-1.07,-0.02,-9.8,-0.44,2.35
0.1,-1.1,-0.02,-7.53,2.35,2.81
0.12,-1.12,-0.03,-6.09,4.99,2.55
0.16,-1.14,-0.03,-3.59,8.52,3.33
0.19,-1.14,-0.04,-1.28,13.01,5.16
0.2,-1.15,-0.04,1.73,17.5,5.34
0.21,-1.15,-0.02,5.59,21.01,3.56
0.23,-1.15,-0.03,9.76,26.7,3.05
0.21,-1.12,-0.03,13.02,30.85,0.58
0.22,-1.08,-0.02,14.98,33.6,-2.72
0.24,-1.04,-0.04,14.44,36.96,-4.03
0.24,-1.03,-0.05,13.15,41.77,-3.91
0.24,-1.05,-0.05,12.87,44.17,-4.93
0.26,-1.07,-0.06,13.48,49.39,-5.33
0.26,-1.09,-0.05,15.86,54.61,-6.44
0.24,-1.08,-0.06,18.31,58.96,-8.15
0.23,-1.06,-0.05,20.82,63.15,-11.6
0.18,-1.07,-0.04,23.33,64.5,-16.56
0.23,-1.06,-0.07,25.4,69.15,-18.89
0.22,-1.06,-0.06,27.21,74.11,-20.17
0.22,-1.03,-0.07,28.03,78.99,-20.5
0.23,-1.0,-0.08,27.05,84.84,-20.35
0.18,-1.0,-0.07,25.76,90.08,-20.53
0.14,-0.99,-0.07,24.32,94.46,-21.11
0.08,-1.0,-0.06,23.34,95.74,-23.73
0.06,-1.0,-0.06,22.52,96.27,-25.88
0.06,-1.01,-0.05,22.99,98.23,-26.35
0.06,-1.02,-0.05,24.05,101.27,-25.45
0.03,-1.03,-0.05,25.21,103.77,-26.96
0.02,-1.02,-0.05,26.58,105.21,-29.25
0.0,-1.0,-0.05,26.69,107.24,-31.89
-0.02,-0.99,-0.05,26.05,107.91,-33.82
-0.03,-0.98,-0.05,25.24,109.74,-33.8
-0.04,-1.0,-0.04,25.79,110.85,-31.56
-0.04,-0.98,-0.03,26.49,111.07,-26.52
-0.02,-0.96,-0.04,27.01,112.84,-19.5
-0.03,-0.95,-0.02,27.76,114.58,-13.74
-0.03,-0.94,-0.02,29.25,117.83,-9.39
-0.07,-0.95,0.0,31.48,119.79,-8.49
-0.07,-0.95,-0.02,34.24,121.95,-10.11
-0.11,-0.92,-0.01,33.66,121.82,-16.11
-0.16,-0.92,-0.01,30.53,118.35,-25.44
-0.13,-0.93,-0.03,25.85,116.99,-35.18
-0.11,-0.95,-0.02,21.57,118.34,-40.67
-0.11,-0.99,-0.02,21.27,124.92,-39.37
-0.2,-1.0,-0.01,23.85,128.41,-36.32
-0.23,-0.98,0.01,27.21,128.95,-31.31
-0.23,-0.92,0.01,30.06,130.6,-25.36
-0.23,-0.86,0.0,29.22,134.14,-20.96
-0.3,-0.83,0.01,25.83,135.82,-21.51
-0.38,-0.8,0.03,20.96,133.54,-25.63
-0.51,-0.83,0.07,16.37,125.82,-31.15
-0.6,-0.83,0.11,13.95,112.03,-34.47
-0.59,-0.82,0.12,11.76,99.04,-33.31
-0.51,-0.79,0.14,11.5,89.94,-25.59
-0.38,-0.76,0.12,8.37,87.34,-18.84
-0.37,-0.76,0.11,3.73,86.02,-15.22
-0.4,-0.78,0.11,-0.79,81.34,-17.71
-0.45,-0.77,0.1,-8.18,74.06,-22.41
-0.54,-0.82,0.11,-15.45,62.78,-27.13
-0.6,-0.89,0.12,-18.75,50.2,-27.42
-0.63,-0.91,0.11,-21.15,37.5,-22.76
-0.64,-0.94,0.12,-20.02,26.66,-14.82
-0.7,-0.94,0.13,-19.33,13.97,-8.35
-0.68,-0.93,0.1,-19.76,2.11,-3.63
-0.71,-0.92,0.11,-21.33,-8.96,-0.18
-0.7,-0.96,0.11,-20.56,-21.36,2.85
-0.69,-0.99,0.11,-16.96,-32.43,6.43
-0.7,-0.95,0.11,-14.6,-45.25,9.69
-0.66,-0.91,0.11,-15.94,-58.41,11.11
-0.56,-0.88,0.07,-18.05,-70.64,11.15
-0.43,-0.88,0.04,-22.55,-77.01,12.6
-0.33,-0.92,0.06,-24.27,-78.99,18.15
-0.28,-0.98,0.05,-22.43,-78.27,23.47
-0.26,-1.0,0.05,-18.79,-76.02,26.49
-0.29,-0.97,0.05,-16.37,-75.04,24.38
-0.36,-0.93,0.05,-17.19,-78.99,19.73
-0.4,-0.94,0.06,-19.36,-86.99,16.21
-0.36,-0.94,0.06,-20.89,-95.42,17.48
-0.27,-0.95,0.03,-22.03,-100.58,23.33
-0.18,-0.98,0.03,-23.47,-101.57,31.19
-0.08,-1.0,0.0,-22.43,-98.21,38.03
-0.03,-1.02,0.0,-20.81,-89.54,40.49
-0.05,-1.02,0.01,-18.2,-81.85,35.3
-0.2,-1.02,0.04,-15.34,-80.96,23.04
-0.27,-0.97,0.06,-16.56,-88.75,13.01
-0.21,-0.96,0.04,-18.47,-90.72,13.65
-0.2,-1.0,0.03,-18.24,-93.37,21.36
-0.21,-1.01,0.04,-16.93,-98.26,27.89
-0.13,-1.02,0.03,-15.4,-100.96,33.74
-0.03,-1.0,0.0,-14.63,-97.8,36.75
-0.02,-0.98,-0.0,-14.55,-92.26,36.63
-0.13,-0.97,0.02,-13.95,-90.73,31.1
-0.23,-0.92,0.03,-15.07,-95.95,23.6
-0.18,-0.89,0.0,-19.37,-102.11,24.53
