acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.12,-0.93,-0.21,-3.95,-2.52,-2.7
-0.11,-0.94,-0.2,-7.86,-7.66,-7.83
-0.11,-1.04,-0.31,-9.34,-12.58,-8.61
-0.07,-1.01,-0.24,-5.95,-8.95,-8.35
-0.06,-1.03,-0.31,-5.71,-10.82,-2.34
0.08,-1.02,-0.34,-4.98,-5.39,-3.74
-0.01,-0.98,-0.39,-5.73,-4.81,-7.71
-0.11,-1.1,-0.42,-7.76,-2.81,-8.81
-0.15,-1.04,-0.37,-7.21,-4.29,-8.27
-0.06,-1.07,-0.4,-5.88,-4.26,-7.02
-0.07,-1.08,-0.43,-4.47,-1.57,-1.63
-0.01,-1.12,-0.42,0.56,3.68,-1.82
0.04,-1.09,-0.37,5.28,7.42,1.18
0.01,-1.09,-0.43,8.14,14.52,4.34
-0.03,-1.13,-0.41,14.26,21.74,5.3
-0.1,-1.07,-0.4,17.22,23.74,4.03
-0.08,-1.07,-0.37,18.96,24.99,6.76
-0.09,-1.02,-0.38,19.74,25.85,8.7
-0.06,-0.95,-0.4,17.24,28.24,8.26
-0.01,-0.91,-0.42,9.94,33.8,8.56
0.02,-0.89,-0.47,-0.09,41.18,4.72
0.02,-0.9,-0.45,-11.42,46.64,-1.4
-0.01,-0.92,-0.44,-20.55,50.02,-6.93
-0.04,-0.97,-0.38,-25.91,53.08,-8.35
-0.1,-0.98,-0.34,-26.56,52.96,-8.0
-0.1,-1.05,-0.28,-21.76,52.69,1.33
-0.14,-1.07,-0.26,-14.96,52.31,4.96
-0.01,-1.1,-0.28,-5.18,56.5,10.9
0.0,-1.03,-0.28,-0.9,60.93,14.58
0.03,-1.04,-0.31,3.4,66.64,11.44
0.06,-0.97,-0.31,3.24,74.05,9.48
-0.06,-0.93,-0.27,-2.9,74.63,7.53
-0.08,-0.86,-0.27,-10.34,72.92,4.12
-0.12,-0.87,-0.21,-18.84,68.37,1.05
-0.11,-0.81,-0.24,-27.13,65.79,2.41
0.0,-0.83,-0.25,-33.48,71.71,7.86
0.01,-0.84,-0.28,-39.59,75.69,6.24
-0.02,-0.88,-0.25,-45.48,76.78,4.11
