acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.15,-0.93,0.15,-13.8,-1.51,11.51
0.15,-0.99,0.18,-13.88,-3.63,11.62
0.19,-1.01,0.15,-12.05,-2.56,12.92
0.2,-1.0,0.15,-9.28,1.05,15.63
0.19,-1.01,0.17,-6.27,3.37,18.23
0.21,-1.01,0.17,-5.82,2.06,15.63
0.19,-1.02,0.15,-7.62,-1.56,9.76
0.23,-1.06,0.16,-11.57,0.31,5.86
0.21,-1.18,0.18,-10.46,0.84,1.37
0.2,-1.34,0.25,-5.15,-5.47,-6.79
0.25,-1.49,0.28,5.77,-8.81,-17.65
0.23,-1.6,0.34,18.05,-15.3,-28.99
0.27,-1.6,0.31,26.69,-21.83,-42.31
0.29,-1.53,0.25,25.31,-19.77,-49.4
0.3,-1.65,0.29,28.03,-19.95,-52.32
0.35,-1.74,0.27,35.56,-19.22,-60.96
0.33,-1.81,0.32,41.1,-21.45,-75.1
0.37,-1.86,0.29,48.61,-20.2,-88.7
0.34,-1.88,0.3,58.14,-18.37,-103.05
0.27,-1.89,0.35,65.11,-20.38,-116.55
0.35,-1.94,0.34,75.34,-14.26,-126.52
0.34,-1.83,0.27,88.6,-5.21,-134.66
0.26,-1.66,0.3,91.6,-0.55,-143.08
0.12,-1.52,0.36,97.34,-0.52,-153.83
0.19,-1.46,0.29,100.26,-13.1,-166.46
0.29,-1.36,0.24,107.07,-10.23,-175.62
0.21,-1.16,0.18,110.93,-10.34,-186.63
0.18,-1.0,0.19,103.21,-13.92,-191.51
0.15,-0.92,0.21,101.53,-14.15,-191.19
0.14,-0.79,0.19,100.31,-17.86,-186.76
0.21,-0.79,0.18,101.25,-16.98,-181.28
0.15,-0.69,0.21,102.15,-17.98,-178.87
0.22,-0.65,0.2,98.23,-15.91,-175.74
0.21,-0.61,0.19,98.5,-14.29,-176.92
0.24,-0.59,0.19,98.84,-12.69,-179.13
0.21,-0.5,0.16,102.17,-12.08,-183.05
0.21,-0.37,0.15,98.84,-12.17,-184.99
0.22,-0.23,0.12,95.89,-7.95,-179.98
0.17,-0.05,0.13,92.73,-8.6,-170.99
0.14,0.12,0.15,84.96,-12.31,-155.36
0.17,0.22,0.12,78.43,-14.49,-139.51
0.26,0.31,0.08,71.59,-17.4,-124.44
0.36,0.38,0.02,62.99,-13.65,-110.41
0.39,0.46,-0.02,53.91,-8.84,-94.53
0.41,0.49,-0.01,42.24,-4.46,-80.73
0.42,0.46,-0.01,35.16,-0.84,-67.42
0.41,0.52,-0.02,25.53,0.61,-55.69
0.4,0.6,-0.01,14.6,2.58,-37.36
0.39,0.68,-0.02,3.97,4.11,-18.63
0.38,0.74,-0.03,-7.6,4.6,3.59
0.41,0.82,-0.07,-21.5,5.66,23.59
0.41,0.87,-0.07,-38.37,5.71,41.88
0.41,0.91,-0.08,-53.56,7.77,63.33
0.4,0.94,-0.13,-67.98,11.71,89.51
0.36,1.02,-0.16,-84.2,14.84,117.83
0.28,1.11,-0.18,-108.32,14.92,149.69
0.21,1.11,-0.25,-134.0,16.67,186.75
0.1,0.95,-0.26,-160.46,17.22,222.49
0.07,0.7,-0.3,-182.89,17.11,251.92
0.01,0.4,-0.3,-203.1,16.64,271.76
-0.11,0.1,-0.31,-222.53,14.35,288.41
-0.23,-0.21,-0.26,-239.62,15.1,307.36
-0.32,-0.78,-0.18,-237.91,9.62,319.59
-0.35,-1.36,-0.02,-221.89,-1.31,314.34
-0.17,-1.78,-0.0,-198.76,-8.73,298.37
-0.07,-1.84,-0.11,-183.82,-3.25,275.94
-0.11,-1.9,-0.04,-179.13,2.72,256.34
-0.17,-1.97,0.02,-171.11,3.69,236.14
-0.21,-2.14,0.16,-159.56,-2.14,215.11
-0.11,-2.31,0.22,-132.49,-4.49,198.49
-0.04,-2.34,0.32,-95.63,-4.15,181.11
-0.74,-2.58,0.52,-64.52,-14.0,158.99
0.09,-2.05,0.33,-52.32,-10.08,111.65
0.5,-1.78,0.08,-31.59,-12.84,80.12
0.43,-1.51,0.05,-20.09,1.94,63.31
0.32,-1.13,-0.07,-24.2,7.88,52.63
0.18,-1.0,-0.07,-43.66,8.12,50.92
0.14,-1.13,-0.01,-61.27,5.16,53.02
0.12,-1.46,0.04,-57.13,9.53,58.58
0.15,-1.74,0.11,-34.63,9.79,62.11
0.16,-1.89,0.19,-9.68,11.16,56.89
0.38,-1.76,0.12,4.44,16.92,41.56
0.14,-1.65,0.13,8.47,11.69,21.59
0.21,-1.57,0.05,4.93,10.76,5.65
0.21,-1.39,0.06,6.18,11.08,0.63
0.14,-1.32,0.06,7.04,15.11,0.9
0.15,-1.25,0.07,7.71,15.95,4.9
0.12,-1.23,0.1,10.82,15.95,7.15
0.09,-1.22,0.11,14.18,11.63,6.79
0.16,-1.18,0.07,14.32,15.4,6.4
0.18,-1.16,0.07,15.85,14.05,0.58
0.17,-1.17,0.09,17.37,14.87,-4.18
0.16,-1.15,0.09,21.83,16.02,-6.95
0.13,-1.14,0.09,25.92,15.76,-9.85
0.12,-1.12,0.1,28.05,13.5,-15.22
0.11,-1.06,0.09,27.36,12.03,-18.44
0.1,-1.03,0.1,28.92,12.6,-15.95
0.07,-0.98,0.09,31.11,11.13,-12.43
0.08,-0.91,0.06,28.12,9.66,-8.78
0.1,-0.9,0.06,23.47,7.65,-8.11
