acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.43,0.91,0.06,1.07,1.41,5.29
-0.43,0.91,0.06,0.17,0.18,6.09
-0.43,0.89,0.04,-0.6,0.37,4.53
-0.43,0.88,0.04,-0.56,0.16,2.95
-0.43,0.88,0.04,-0.86,-0.29,2.69
-0.43,0.87,0.04,-0.97,-0.76,2.15
-0.41,0.86,0.03,-1.21,-0.91,2.73
-0.38,0.88,0.03,-1.59,0.52,4.01
-0.39,0.89,0.03,-2.11,0.93,7.85
-0.4,0.88,0.05,-1.82,0.28,9.88
-0.42,0.87,0.04,-1.98,0.43,7.56
-0.43,0.88,0.04,-1.79,-0.32,5.08
-0.41,0.88,0.03,-1.62,-0.72,5.57
-0.42,0.89,0.04,-2.31,0.18,5.56
-0.41,0.88,0.05,-2.65,0.26,4.31
-0.41,0.87,0.05,-2.69,1.56,1.76
-0.43,0.86,0.05,-3.73,1.64,-0.78
-0.42,0.86,0.04,-3.64,1.05,0.24
-0.39,0.87,0.03,-4.01,1.95,2.68
-0.4,0.88,0.04,-3.57,2.81,8.08
-0.4,0.9,0.04,-3.61,2.56,11.26
-0.4,0.89,0.03,-3.21,4.05,12.02
-0.42,0.89,0.04,-2.95,4.66,9.65
-0.41,0.89,0.05,-2.61,3.97,10.45
-0.42,0.89,0.04,-2.44,2.63,11.82
-0.42,0.9,0.03,-2.94,2.92,12.09
-0.41,0.89,0.04,-4.47,3.5,8.98
-0.42,0.9,0.04,-5.69,3.34,5.21
-0.44,0.91,0.03,-6.75,3.02,1.94
-0.41,0.92,0.04,-6.18,3.37,-1.15
-0.4,0.95,0.05,-5.21,1.72,-0.63
-0.41,0.95,0.05,-2.32,0.76,3.5
-0.42,0.93,0.05,0.42,1.36,6.7
-0.42,0.91,0.06,2.02,0.33,8.15
-0.42,0.91,0.05,2.11,0.77,9.2
-0.42,0.92,0.04,0.12,-0.84,7.13
-0.44,0.95,0.04,-0.9,1.66,3.17
-0.45,0.91,0.05,2.22,0.46,1.17
-0.48,0.93,0.04,2.97,-4.6,5.11
-0.49,0.87,0.03,5.5,0.1,9.44
-0.53,0.86,0.06,4.4,-1.4,12.46
-0.54,0.9,0.05,-1.63,-4.82,10.05
-0.49,0.86,0.04,-3.41,-6.6,10.95
-0.43,1.16,0.05,-5.31,-4.85,15.31
-0.4,0.87,0.08,-4.4,11.99,24.95
-0.43,0.92,0.03,-18.86,5.39,35.53
-0.36,0.94,0.09,-18.48,22.8,35.66
-0.29,1.02,0.14,-25.06,31.71,41.35
-0.17,1.0,0.18,-32.32,18.53,47.56
0.09,1.15,0.16,-35.91,52.57,32.38
0.25,1.12,0.13,-39.65,76.47,21.96
0.55,1.21,0.18,-40.77,99.18,15.33
0.78,1.47,0.21,-51.33,108.03,8.05
1.05,1.45,0.24,-48.95,135.19,5.97
0.97,1.44,0.3,-49.63,124.21,23.36
0.81,1.3,0.31,-37.2,106.59,-50.19
0.84,1.66,0.3,-59.12,85.66,-61.85
0.65,1.09,0.24,-36.82,49.44,-109.79
0.62,0.76,0.17,-34.56,46.71,-106.73
0.66,1.35,0.14,-40.73,32.1,-115.63
0.05,0.78,0.23,26.8,0.82,-129.27
0.06,0.87,0.15,37.98,-24.98,-120.84
-0.14,0.81,0.12,42.79,-52.49,-115.52
-0.35,0.67,0.18,48.64,-80.59,-96.19
-0.91,1.1,0.16,40.5,-113.26,-84.63
-1.01,0.29,0.12,107.76,-115.18,-52.85
-1.51,1.06,0.3,29.66,-114.18,-85.05
-1.87,0.54,0.14,20.94,-112.68,-90.38
-2.0,0.54,0.14,29.01,-132.5,-89.44
-2.0,0.49,0.06,13.25,-138.79,-85.53
-2.0,1.06,0.08,4.47,-129.02,-50.54
-1.59,1.09,-0.45,-75.28,71.37,45.3
-2.0,-0.23,-0.45,-55.99,141.32,25.83
-2.0,-0.21,-0.31,0.31,28.69,23.39
-2.0,-0.6,-0.32,47.97,-80.82,9.14
-2.0,-0.24,-0.39,61.95,-116.35,5.89
-1.85,-0.26,-0.35,59.67,-114.1,24.73
-1.6,-0.24,-0.34,56.9,-97.58,40.63
-1.3,-0.21,-0.25,48.37,-60.19,48.05
-1.13,-0.04,-0.15,30.19,-4.78,54.19
-1.03,0.16,0.01,-3.93,37.77,68.68
-0.84,0.52,0.13,-33.41,67.6,69.32
-0.77,0.46,0.1,22.05,57.5,62.36
-0.61,-0.05,0.12,-26.44,64.58,90.58
-0.01,0.65,0.31,-54.29,103.44,109.34
0.3,1.2,0.39,-93.73,110.12,124.85
0.54,0.95,0.28,-70.22,118.6,159.49
0.62,1.1,0.27,-37.5,139.72,158.41
0.75,1.39,0.34,-25.72,145.49,128.71
0.75,1.58,0.35,-54.14,143.08,73.12
0.74,1.51,0.26,-62.94,142.74,29.82
0.87,1.34,0.19,-64.28,137.6,-0.83
0.97,1.55,0.2,-59.98,137.68,-9.82
0.27,1.21,0.28,-40.3,59.79,-37.9
0.36,1.04,0.23,-6.86,1.66,-15.79
0.41,1.18,0.2,2.18,-15.99,-25.56
0.43,1.2,0.22,-3.37,-10.73,-25.92
0.26,1.15,0.21,-0.46,-6.81,-27.78
0.06,1.12,0.23,-2.86,-4.64,-39.32
-0.13,1.02,0.24,-4.25,-18.63,-48.45
